Artist Name,Title,Thumbnail,Label,Genre,master release date
The Honey Drippers,Impeach The President / Roy C's Theme,https://i.discogs.com/jujuM6HrryoivAvjnpeSoCnZsXFcFLuOVSLXSJQYBMY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc5Nzg1/Ni0xNDEzMDQxMDY2/LTcxODAuanBlZw.jpeg,Alaga Records,Funk / Soul,1973
The Vibrettes,Humpty Dump,https://i.discogs.com/WgZItmha1x2wZlrvfBQcEnBOsjeUeed6YYkJYcBboEU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NzQz/NC0xMjM1ODE4Nzgw/LmpwZWc.jpeg,Lujon Records,Funk / Soul,1973
Mickey & The Soul Generation,Iron Leg ,https://i.discogs.com/zMKBVyPrW9enf3ozjbC9neWfs2zdDd-9zqKSScO5pMo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NTQz/MTItMTM5MTUyODYw/MC04MTMzLmpwZWc.jpeg,Maxwell,Funk / Soul,1969
Freda Payne,Band Of Gold / The Easiest Way To Fall,https://i.discogs.com/_b9BxRftrmWy7SzTcXwga_l7Xuu0sTkEVrS2UhEfbdU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3NDY5/OC0xNjA2OTYyNTU2/LTY5MDMuanBlZw.jpeg,Invictus,Funk / Soul,1970
Cold Grits,It's Your Thing,https://i.discogs.com/MXE8WZvPgA8qWyTJ0d6NrpaTHHKEeu3OsrvO4cs5G8E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyMTc2/NzQtMTQyMDU2Njc3/OC03MjI1LmpwZWc.jpeg,ATCO Records,Funk / Soul,1969
Banbarra,Shack Up,https://i.discogs.com/Sxfl_UqMNGqBR-uD0oyH5maE-BoURORMV0Sr8Tx-VGA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0NzY2/Ni0xMTQzMDI5OTI3/LmpwZWc.jpeg,United Artists Records,Funk / Soul,1975
James Spencer (2),Take This Woman Off The Corner,https://i.discogs.com/hbVodzjxC1O_tgRc-buip8KRatN2Xk-KPgkuwlkGHVE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzUz/NzktMTQ0MTA0NTQy/MC0zOTQ4LmpwZWc.jpeg,Memphis (11),"Jazz, Funk / Soul",1970
Marva Whitney,It's My Thing (You Can't Tell Me Who To Sock It To) / Ball Of Fire,https://i.discogs.com/8-rlUVX_N5OMbQ5Wis9DjMJLaJVNV21mN0L8giOs7tI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MTM1/NjAtMTQ0NjY4ODkz/NS02MzMwLmpwZWc.jpeg,King Records (3),Funk / Soul,1969
Dyke & The Blazers,Let A Woman Be A Woman - Let A Man Be A Man,https://i.discogs.com/cl54QlwIVhkkyb1VaQ6Xa82CHIvLutEAbR5RtkUASqc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMTgy/ODctMTM5NjgzNjI4/Mi0xNzEyLmpwZWc.jpeg,Original Sound,Funk / Soul,1969
Simon Park,Hobby Horse,https://i.discogs.com/bUR9OmC86YmYDgUjpPNnnzuuqVQyaHXrBEv-5UNmlio/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5MzU4/ODYtMTQzNTQxOTM2/NC00MjQwLmpwZWc.jpeg,BBC Records,"Funk / Soul, Pop, Stage & Screen",1978
